edad,salario,genero,estrato,hijos,comprado
61,3496958,0,2,0,0
24,3497775,1,3,2,0
60,2562416,1,2,2,0
63,2791211,0,4,0,0
27,4243361,0,6,0,1
50,3378949,1,6,0,1
45,1836349,1,1,1,0
26,4729888,1,4,2,1
49,2186606,1,6,1,0
62,2113332,1,2,1,0
40,2278212,1,4,1,1
59,2253908,1,2,1,0
53,3073182,0,4,1,1
54,3135869,1,4,5,0
61,3413486,0,4,0,0
32,4573271,0,6,1,1
63,5191196,0,3,1,1
19,3472152,1,1,0,0
59,4007237,0,2,0,0
53,2660136,1,1,2,0
60,4344281,1,4,0,1
59,2338994,1,5,4,0
67,1891956,1,3,1,0
47,1893514,1,2,1,0
57,2426835,1,6,0,1
22,3633227,0,3,1,0
58,3949286,0,2,1,1
57,4123857,0,4,0,0
58,2230530,1,2,1,0
38,3053989,0,2,0,0
41,4245624,0,3,3,1
57,4292184,0,3,1,0
59,4441562,0,2,0,0
37,2837354,1,2,2,0
36,2641931,1,3,3,0
41,1978264,1,2,1,1
58,3128437,1,4,2,0
31,2550298,0,2,0,0
26,3789895,1,2,0,1
65,5149564,0,5,0,1
63,2615400,0,6,2,0
39,3720185,1,2,1,0
52,5086885,1,3,1,1
54,3625018,1,2,0,0
61,2947338,0,2,1,0
68,5022897,0,1,0,1
22,2926853,0,4,0,1
34,1831498,0,2,0,1
31,2327927,1,2,0,0
65,2583865,1,3,2,0
47,4797785,0,3,1,0
27,3697101,1,3,0,1
33,4436708,0,1,5,1
33,4963561,0,1,0,0
25,4564957,0,3,1,0
63,3572225,1,1,2,0
43,3382895,0,2,1,0
53,4441092,1,3,0,0
24,4200048,1,2,1,0
18,2285486,0,6,2,0
54,4188514,0,3,2,0
22,4730611,1,1,0,1
44,4093590,1,2,0,0
57,2889796,1,3,2,0
59,4494507,1,2,3,1
22,3310969,0,3,3,1
42,3619218,1,2,3,0
60,4142593,0,4,0,1
45,4281685,0,6,5,1
35,3895015,0,4,0,0
36,3281277,1,1,4,1
54,3240293,0,5,1,0
20,3367758,1,5,0,1
47,2340810,0,2,3,0
37,3164629,0,2,0,0
44,3514972,1,4,0,1
63,2788083,0,3,0,0
67,5151074,0,4,0,1
18,2249611,0,2,3,0
65,2340405,0,2,1,0
27,3689442,0,1,4,0
52,3378829,0,1,0,0
70,3455438,1,2,1,1
62,3853709,1,2,2,1
50,4914631,0,3,0,0
49,3886730,0,3,0,0
52,4561153,1,4,3,0
69,4866864,1,4,3,1
64,5124895,0,2,1,1
66,3086904,1,3,0,0
56,2443055,1,2,2,0
67,4392705,0,2,1,0
29,3274457,0,1,2,1
38,4026789,1,3,3,0
54,5106128,1,6,5,1
65,4103948,0,5,4,1
64,4927034,0,4,3,0
56,3814018,0,2,2,1
28,5244722,1,3,1,1
37,1975311,1,2,0,1
64,3645604,0,5,4,1
50,2679626,1,3,0,0
44,4882893,1,3,2,1
54,2342625,1,6,0,1
57,3570259,1,1,1,1
48,2997342,0,5,1,1
53,1914930,1,5,5,0
58,2418072,0,5,1,0
60,4377314,0,3,2,0
54,3477679,0,5,1,0
65,3462006,1,3,3,1
57,3614915,0,5,2,1
49,2372482,0,2,0,0
27,4076833,1,4,2,1
22,4040286,1,1,4,1
46,1961047,0,3,3,0
28,5229588,0,1,2,1
28,4302374,0,2,0,0
48,2239805,1,2,1,0
51,1978002,0,4,2,0
52,2061223,0,1,2,0
66,1941151,1,4,1,0
58,4694159,0,1,1,1
51,3154436,0,5,2,0
47,3224539,1,2,0,0
33,3508069,0,3,1,0
40,4390470,0,2,2,0
42,3054346,0,3,0,0
70,2396094,0,3,3,0
64,2831220,1,4,1,0
70,2927742,1,5,2,0
35,4994107,1,2,3,1
39,2396939,1,4,1,0
21,3144297,0,3,1,1
29,4755648,1,3,0,1
27,3556619,0,2,3,1
57,4935378,1,4,1,1
36,2703216,1,1,3,0
61,3375545,0,1,0,0
70,4024695,0,1,2,1
69,1791772,1,3,0,0
30,2702827,0,2,4,0
55,3565321,1,3,1,1
45,2637392,1,1,2,1
39,3911828,1,1,0,1
44,3697525,1,3,3,0
51,4842416,1,2,1,1
21,4593778,1,3,0,1
59,2533248,0,1,0,0
24,1804021,0,3,1,0
69,4142985,0,2,0,1
30,2010723,1,2,0,0
68,3724259,0,4,0,1
44,4210635,1,2,0,0
50,3438862,1,3,4,1
48,2857635,1,3,2,1
34,4237645,1,4,0,0
46,3971357,0,3,2,0
28,4850003,1,3,1,1
57,2923539,1,3,1,0
36,4791549,1,3,1,1
66,3931392,0,4,0,0
29,4532318,1,4,3,1
23,2668050,1,2,2,0
28,2657885,1,4,0,1
66,1946599,1,1,1,1
57,5133701,1,3,1,1
59,3414188,0,3,5,0
67,2887344,0,5,1,0
55,4988100,1,3,2,1
58,5157602,1,3,1,1
60,2681450,0,1,1,0
36,4198086,0,2,0,0
27,2092548,0,3,0,0
33,4726555,1,2,0,1
43,3363689,0,3,1,0
65,4458472,1,6,1,1
45,2771039,1,1,1,1
46,1771658,1,3,0,0
50,2135716,1,3,5,0
55,4168796,1,1,0,1
30,1940996,0,1,4,0
66,3364290,0,4,2,0
70,2358700,0,5,1,1
64,4375412,0,4,2,1
25,5217968,0,2,0,1
31,3896240,1,4,1,0
30,3891246,0,2,3,1
26,3236930,0,3,2,0
27,2940357,1,2,1,1
49,4419785,0,3,0,0
21,3825400,1,5,2,0
43,4802730,0,2,3,1
33,3440629,0,3,2,1
35,4677442,0,5,1,1
55,2174245,0,2,3,0
32,5025651,0,1,3,1
44,1794625,0,4,2,0
52,2238618,1,4,1,0
52,2883509,0,4,1,1
34,3773927,1,2,1,1
57,3241593,0,1,0,0
51,4704608,1,2,0,1
63,3777405,1,3,2,1
61,2962954,0,4,1,1
22,5178002,1,1,2,1
38,5240789,1,4,0,1
27,4960808,0,2,4,0
38,2637629,0,1,1,1
22,3145692,0,3,2,1
43,3018658,1,3,4,1
52,4041041,1,4,3,1
18,4651102,1,4,3,1
42,2475199,1,2,0,0
56,4992615,1,4,2,1
67,1903881,1,5,2,1
60,4936550,1,4,0,1
53,2732456,0,1,0,0
68,4068206,1,4,2,0
34,4330338,0,6,0,1
63,5074747,0,3,0,0
37,1911146,1,3,0,1
32,3552526,1,4,0,0
26,2573964,0,2,2,0
69,4024729,0,5,4,1
31,2146431,1,3,2,0
19,2538240,0,2,0,0
48,3438857,0,3,0,0
55,2635294,1,1,3,0
68,2387048,0,6,1,0
55,5020419,0,1,0,0
36,3342117,1,1,2,1
36,3818586,1,4,0,1
54,3255946,1,5,2,1
46,3434744,0,4,1,0
22,2519506,1,1,0,0
21,2274209,1,1,1,0
48,4042025,0,3,1,1
32,3536105,1,6,0,1
54,2498495,0,1,0,1
21,2081803,1,3,0,0
49,5233574,0,4,1,1
21,4758941,0,1,5,0
28,2420656,0,2,1,0
46,4421495,1,5,4,1
56,3674132,0,1,1,0
33,3139267,1,2,1,0
21,2844609,0,2,2,0
53,3747048,1,1,0,0
59,3037898,0,4,1,0
26,1924154,0,1,4,0
65,3286431,0,3,3,0
48,3156371,1,2,4,0
69,2984957,0,4,3,0
61,4412808,1,2,0,0
43,3547676,0,2,1,0
20,3463863,1,6,3,0
38,3558023,1,2,1,0
30,2869160,0,1,4,1
67,3025657,1,3,1,0
51,2273763,1,1,0,0
26,1864125,1,3,3,0
37,4244397,1,3,0,0
53,3651508,1,3,3,0
44,2046568,1,3,1,0
41,4157799,0,6,0,1
22,4829643,1,1,4,1
26,4078475,1,4,4,1
47,4840867,1,3,2,1
63,5195182,0,3,0,1
23,3144416,1,3,0,1
38,4000244,0,3,0,1
50,3089732,0,2,0,0
53,4266007,0,4,0,0
20,4094753,0,1,3,1
37,2782862,1,3,4,0
28,2484948,1,5,0,1
47,4159817,1,3,0,1
34,2161713,1,3,0,0
63,5239264,0,4,2,1
19,1807250,0,3,0,0
70,3170642,1,3,2,0
45,2739962,0,4,3,1
38,2804125,1,4,1,1
69,1807508,1,5,0,0
54,1835797,0,3,0,0
52,4351422,1,1,0,0
19,2675720,0,2,0,0
39,4204721,1,4,4,0
51,3066323,1,4,1,0
57,4097498,1,1,1,1
68,3825360,0,3,2,0
19,2529125,0,3,0,1
66,2663331,1,2,0,0
49,3730344,0,3,5,0
49,2614621,0,2,0,0
60,3833470,0,3,3,0
60,3679520,0,2,2,0
21,2349296,1,3,3,0
38,4837901,0,1,0,1
35,5161689,1,3,0,1
52,4866901,0,2,5,0
41,1754975,1,3,0,0
37,4507344,1,5,3,1
44,3493947,1,4,3,0
29,4527240,1,5,0,1
35,1900765,1,2,4,0
23,4654300,0,4,2,1
31,2368106,0,3,0,1
69,4247599,1,3,3,1
67,3840243,1,4,0,1
53,2652342,1,2,0,0
66,2313031,0,6,1,0
31,2878898,1,2,4,0
60,2003014,1,2,1,0
68,1903855,1,2,0,0
61,4460621,0,3,2,0
68,4167137,0,2,0,1
64,3181628,1,4,2,1
20,2947532,1,2,3,0
64,4038954,0,2,0,1
44,2645751,1,6,1,1
48,4364365,1,1,0,1
25,3612008,1,1,3,1
32,3911877,1,3,2,1
54,3495860,1,6,2,1
46,4687002,1,2,2,1
18,2412829,1,5,1,1
49,3361153,0,1,1,0
35,4439266,0,4,2,1
66,2426712,1,3,0,0
39,3099823,1,4,0,0
39,2825957,1,2,0,0
51,5034954,0,3,2,0
57,4176485,1,3,5,0
21,4157655,0,3,0,1
25,5136113,0,4,0,1
60,3733938,0,3,1,1
70,5186868,1,3,1,0
33,4496595,1,4,2,1
18,3283701,0,3,3,1
28,2455174,0,2,2,0
19,3708374,1,2,5,0
58,3220050,0,1,3,0
49,2116177,1,3,0,0
36,2516850,0,3,2,0
24,3639688,0,2,2,0
54,5062258,0,1,1,1
46,5071200,0,5,1,1
24,2198323,1,3,1,0
59,2093796,0,2,1,0
66,3994928,0,3,1,0
57,3495921,0,1,0,0
31,2341256,0,5,3,1
36,3331431,0,4,0,0
25,3388072,1,2,5,1
21,4421477,1,4,0,1
68,2261002,1,3,3,0
45,4327828,0,2,2,1
49,2780399,0,4,0,1
27,2222696,0,1,3,0
27,2162533,1,6,0,0
57,4130383,1,3,2,1
20,3477016,0,4,3,0
57,2614583,1,1,2,0
50,4271962,0,3,2,0
51,4504736,1,4,2,1
38,3838599,1,3,2,1
51,5251704,0,5,0,1
40,2019898,1,6,1,0
53,3287783,1,1,0,1
46,4441573,0,2,0,0
46,3649107,1,3,1,1
26,5009111,0,4,3,1
48,3643987,1,4,1,0
21,3619580,1,5,3,1
31,3641492,1,3,1,0
69,4154778,0,3,3,0
20,3076368,1,3,3,1
54,4788704,1,5,1,1
68,4693948,1,3,3,1
70,2203390,1,2,2,0
64,3913235,0,1,1,1
33,4247439,0,2,1,1
68,3800444,0,2,2,0
62,2690981,0,3,1,0
22,2127774,0,2,0,0
65,4985220,1,6,5,1
54,4736660,0,1,0,0
63,4891329,0,2,4,1
66,4673774,0,4,4,0
28,3109738,0,2,2,0
56,3836797,1,5,0,1
63,2097496,0,3,1,0
60,4810368,0,2,0,0
33,2602974,1,2,3,0
69,2487077,1,3,0,0
24,3264186,1,1,0,0
32,2465509,1,3,3,0
50,2086408,0,3,0,0
34,3847816,1,3,0,1
37,2534865,0,6,1,0
55,3607749,1,2,0,0
46,4096923,1,4,1,1
62,2244952,0,1,2,0
23,4190085,0,2,2,1
58,5234133,1,2,4,1
43,3437031,0,2,1,0
50,3964938,1,2,3,0
45,2762538,1,3,4,1
26,2556371,0,1,1,0
58,3244746,1,1,5,0
38,3715491,0,3,2,1
66,3481815,1,1,0,1
34,3405000,0,3,1,0
39,4297584,0,3,0,0
66,2771140,0,2,2,1
62,3285414,0,2,1,0
43,1753477,0,5,2,0
67,2105015,1,6,4,0
39,3496160,1,5,3,0
69,4293481,1,3,1,0
60,1845353,0,4,2,0
34,4286901,1,6,0,1
34,4221209,0,3,0,1
52,5060551,0,5,0,0
36,3885480,1,1,4,1
43,3788616,1,5,2,1
65,3772482,1,3,1,1
63,3532315,0,4,4,0
33,2322827,1,3,0,0
55,3373653,1,2,0,1
51,3750938,1,4,3,0
43,1993790,0,2,0,0
46,5113034,1,1,5,0
56,2593912,0,1,0,0
35,3135401,1,5,3,1
63,2100280,1,1,0,0
51,2940343,0,3,1,0
27,2913710,0,1,1,0
47,4192134,0,3,0,1
69,3123341,0,1,1,1
32,2829266,1,6,1,1
62,3676940,1,2,1,0
30,2208419,1,2,0,1
37,2369329,0,3,2,0
51,2966420,1,4,3,1
43,1923003,0,4,0,0
36,2086045,0,5,0,0
32,2166553,0,1,3,0
24,4742083,0,3,1,1
49,1762209,1,3,2,0
23,3454328,0,5,1,1
68,3216405,0,1,0,0
30,4056647,0,5,3,0
68,3002363,0,2,1,0
54,1758812,0,2,2,1
53,4431906,1,1,0,1
30,1926546,1,3,2,1
48,3482185,1,3,1,0
69,2137966,0,1,1,0
35,4466975,1,2,4,1
23,2944869,0,2,0,0
46,4465997,1,1,2,1
35,2510668,0,5,0,0
36,4680246,1,2,1,1
41,2060169,0,2,1,0
26,4868985,1,2,0,1
64,3147167,0,1,0,0
29,4799654,0,4,5,0
20,5037553,0,2,3,1
51,1980779,0,6,0,0
43,3362340,1,4,0,0
27,4111891,0,4,1,0
29,4432372,0,2,3,1
26,4319959,1,6,1,1
58,2397251,1,1,0,1
40,3037146,0,3,2,0
54,2851156,1,5,4,0
66,2603228,0,4,2,0
60,4768632,1,2,0,1
28,4989781,0,1,0,1
56,3957168,0,4,1,0
47,3403175,0,2,3,0
21,4924630,1,4,2,1
55,3008794,1,4,1,0
64,2126942,0,3,0,1
49,3006764,1,2,1,0
63,2637750,1,3,1,0
60,3791679,1,2,2,1
37,1943768,0,3,0,0
56,3635355,1,4,0,1
60,2457209,1,4,2,0
64,2635940,1,2,1,0
47,2265577,1,4,1,1
34,4211247,0,4,1,0
27,3752234,1,2,1,1
53,3977564,1,4,1,1
54,2823700,0,4,0,0
63,4975360,0,2,0,1
56,4563184,0,2,0,0
55,3409815,1,2,1,0
23,4434162,1,2,4,1
68,5123992,0,3,2,0
69,2056251,1,2,5,0
20,1861676,1,3,0,0
28,1908581,0,1,2,0
46,4674994,1,3,1,0
58,4656331,1,2,0,1
66,3449638,0,3,0,0
24,4973788,1,4,2,0
27,4116899,0,1,0,1
63,5120507,1,2,1,1
59,4646123,1,3,2,1
33,4036131,0,2,1,1
35,3555111,1,3,0,1
26,3814996,0,5,2,1
69,4749100,0,3,3,0
19,3830714,0,5,0,0
50,3704174,0,1,2,0
47,3792623,1,4,4,0
37,3048959,0,4,2,0
53,3751113,0,3,0,1
66,2199994,1,4,4,1
61,3308691,1,4,0,1
65,4855674,1,1,5,1
41,2721473,0,4,0,0
25,4129189,1,2,0,0
59,2914528,1,3,1,0
66,2509546,1,6,0,0
57,1760797,0,1,0,0
39,4661670,0,1,0,0
33,4622686,1,1,1,0
42,3493146,0,4,1,1
48,5128669,0,1,3,0
62,3075085,0,2,3,0
60,2000360,0,3,0,1
50,2863233,1,2,0,0
56,4391317,0,4,0,0
69,5056478,0,2,0,1
55,4581315,1,6,2,1
66,4476948,0,2,3,0
68,2438507,0,1,0,0
32,4155477,1,3,0,1
34,2372325,0,2,1,0
48,2539096,0,4,0,1
28,3461845,1,4,5,1
19,4155301,0,2,2,0
52,4398621,1,3,1,1
28,5096384,0,4,2,1
28,4375321,1,2,4,1
33,3384101,1,5,0,1
27,4090694,0,4,5,0
47,2491945,0,2,1,0
43,3776329,0,1,3,0
56,4540851,0,2,0,0
40,4399998,1,2,4,1
58,4610785,1,1,2,1
29,4139508,1,5,2,1
43,4705281,0,3,1,0
32,1905726,1,4,2,0
47,2614959,1,1,0,0
37,4231629,1,1,0,1
44,3411064,1,1,2,1
62,3344500,1,4,5,0
51,2867880,1,4,3,0
29,5191416,1,3,2,1
63,4390387,0,2,0,0
65,4963016,0,3,1,1
22,2402396,1,4,0,0
47,4105092,0,3,0,0
65,5060015,0,3,0,1
67,4040988,1,2,2,1
65,4839312,0,2,2,0
56,4736259,0,6,1,1
52,4732074,1,2,5,1
41,2106472,1,3,1,1
35,4697605,0,1,2,0
32,3141905,1,3,3,0
18,2811763,1,5,3,0
50,3144525,0,1,2,0
48,2836489,1,3,4,1
68,4981336,1,6,0,1
50,5177665,0,3,2,1
31,4815846,1,5,0,1
20,3938870,1,5,1,1
50,2212961,1,1,4,0
20,4270843,0,2,3,0
50,4761420,0,1,3,1
24,3574020,0,1,3,1
40,1975602,1,3,2,0
20,2205269,1,2,0,0
42,4732212,0,6,0,1
18,1922322,1,1,1,0
26,4285001,0,4,0,0
44,3468671,1,3,0,0
30,2381894,1,3,0,0
58,1781552,0,4,4,0
66,4940706,0,2,0,0
21,2032292,1,5,0,0
26,1913999,0,3,0,0
69,5235046,0,3,5,1
66,4228788,0,4,2,0
56,3537034,1,1,1,0
42,5128754,1,3,2,1
26,2703595,1,3,0,0
37,4159445,1,3,2,0
53,3445171,0,3,4,0
55,1823356,0,3,2,0
41,4973754,1,6,3,1
27,3726814,1,1,0,0
62,4658843,1,1,0,0
21,3589540,1,1,5,1
45,1793030,1,2,1,0
69,4757267,1,2,2,0
57,2667759,0,3,0,0
40,2265703,0,3,1,0
49,4414415,0,3,2,0
54,2828759,0,2,2,0
24,4399497,0,1,0,0
54,2036962,1,1,3,0
34,4944085,0,1,3,0
45,3376096,1,3,4,1
19,2141763,0,6,2,0
56,3939622,1,6,2,1
19,3436267,0,4,4,1
69,4642081,0,5,0,1
45,1995836,0,4,0,0
28,3719241,0,6,4,1
50,2129355,0,6,4,1
65,4024629,0,2,3,0
59,1941502,1,3,1,0
32,1827697,0,3,1,0
67,3033873,0,2,4,0
42,4714032,1,5,2,1
38,4382700,1,1,2,1
62,5108781,0,2,2,1
19,3410055,0,3,2,0
48,2532770,0,1,3,0
31,2196540,0,3,0,1
44,4760114,0,5,4,1
25,4409039,0,3,0,0
62,1828802,0,2,0,0
49,5100105,0,4,3,0
36,3011311,0,2,2,0
41,3177072,1,2,0,0
59,1821605,0,3,4,0
23,2934103,1,3,0,0
64,2211716,1,2,1,0
36,4210087,1,4,0,1
24,3778125,1,2,1,1
65,2312260,0,2,1,0
19,3967224,1,3,0,1
39,5091760,0,2,4,0
35,4404239,0,2,2,1
66,2338424,1,3,2,0
25,4090116,1,2,2,1
62,3096932,1,2,4,0
50,3346376,1,4,1,1
48,4167265,0,2,2,1
57,3610493,0,5,1,1
27,3952611,0,1,1,0
43,3400751,1,2,0,1
44,2119325,1,2,0,0
48,2702167,0,3,5,0
18,3017329,1,6,0,0
31,2415169,1,2,5,0
51,4382418,1,2,0,1
31,3246080,0,1,3,0
61,5230332,0,1,4,0
56,4364448,0,1,4,0
68,3488505,1,3,2,0
62,3759760,1,3,0,0
44,2590290,1,4,2,1
20,4761609,1,5,1,1
55,2604165,1,6,1,1
23,4117691,0,3,2,1
35,2284659,1,4,0,0
20,3584498,0,5,2,0
20,3451538,0,3,3,0
64,4836750,1,3,2,0
62,2171742,0,2,0,0
33,5019828,0,3,0,1
45,4030700,1,2,0,1
19,3554991,1,2,0,0
65,5090697,1,1,3,1
62,3882615,1,6,1,1
57,4011637,1,2,2,1
50,4995143,0,5,3,1
64,3180152,0,3,0,0
20,2851667,1,6,0,1
59,4447419,0,5,1,0
24,4074231,0,3,2,0
61,4440830,0,2,3,0
51,3446337,1,2,0,0
22,2867613,0,4,2,0
30,4904844,0,3,2,1
30,2810070,0,3,3,0
31,2892663,0,2,2,1
43,4804682,0,5,1,0
63,4030305,0,2,0,1
40,3398966,0,4,0,0
41,2029146,0,1,3,0
70,3518623,1,5,0,1
54,2185016,0,1,1,0
40,1852300,0,1,0,0
56,3036582,1,2,2,0
58,2472706,1,3,4,0
27,3332498,0,2,4,0
31,3964966,0,4,3,0
60,2298619,1,4,0,1
20,4052485,0,5,4,1
47,4391572,1,2,5,0
59,2472876,0,2,3,0
41,4630977,1,3,5,1
69,4516615,1,2,0,1
51,2399293,0,4,0,0
32,2171090,1,3,1,0
70,3612342,0,1,1,0
36,3539859,0,2,2,0
58,2694577,0,2,0,0
22,3803150,1,4,1,1
70,3746989,1,4,3,0
48,2048725,1,3,2,0
18,4487844,1,2,0,0
44,4117074,1,2,0,1
54,3415744,1,3,2,1
53,3210262,0,2,0,0
19,3876173,0,2,2,0
54,3145720,0,6,2,1
27,4087837,0,5,2,0
66,2897935,1,3,2,0
60,2733603,0,5,3,0
38,2511531,0,4,3,1
45,4449211,0,2,1,0
50,4445403,0,3,3,1
38,4712553,1,5,1,1
51,4848219,0,3,0,1
55,4292372,0,6,2,1
54,2920918,0,3,0,1
50,2544760,1,3,0,0
66,4502456,1,2,4,0
31,1790684,0,5,3,0
55,5183916,1,6,3,1
56,4740493,0,2,0,1
55,4921547,1,3,1,1
32,3682082,1,5,2,1
44,2055784,1,1,0,0
70,5223451,1,1,4,1
53,4960035,1,4,0,1
18,2554679,0,4,2,0
63,2915596,1,1,2,0
62,4252248,0,6,3,1
42,4105917,0,5,3,0
56,4900296,1,2,2,0
30,4457843,0,3,3,0
48,4343592,1,1,1,1
70,3146177,0,2,2,0
35,3303431,0,3,0,0
62,2206906,1,5,2,0
58,4010649,1,1,1,1
53,2053057,1,3,1,0
26,3447934,0,6,1,1
31,4657025,1,3,0,1
22,3969136,0,6,0,1
38,5250759,1,4,3,1
37,4807291,0,4,2,1
23,2467500,0,3,1,0
32,2345823,1,1,5,0
58,1863259,1,3,2,1
22,3071940,1,1,1,0
56,3548322,0,5,0,0
48,3644693,1,3,0,1
25,3761883,1,2,1,0
29,3413027,1,1,2,0
33,1976063,0,6,3,0
65,3512665,1,3,1,1
21,5003690,1,6,2,1
59,3766888,1,5,0,1
33,4246754,1,4,3,1
40,3794379,1,3,4,0
64,2805570,1,1,2,0
54,4477762,0,4,2,0
69,3841416,0,2,2,0
63,4324466,1,4,3,1
34,3903925,0,2,1,1
32,2224768,0,2,0,0
21,3387708,1,2,1,0
50,2021702,0,1,0,0
55,3897280,1,1,2,0
57,2450148,0,2,2,0
36,4949020,0,5,0,1
23,2677750,1,3,1,0
64,3166907,1,1,3,0
20,5146945,0,4,0,1
68,4929799,0,2,1,0
58,4673351,0,3,2,0
39,1768983,1,3,2,0
20,4137587,0,4,0,0
34,4071547,1,5,4,0
42,5072100,0,4,0,1
63,3165859,1,4,1,0
70,4189013,0,3,2,1
27,2937382,1,5,2,0
38,2750292,1,4,3,0
27,5215974,1,5,1,1
60,3767338,0,4,3,1
25,3827330,1,1,0,1
67,3572401,0,4,0,0
22,4074762,0,3,1,0
40,5035968,1,4,1,1
56,4027305,0,2,0,1
25,1857836,1,1,0,0
47,4119025,0,1,1,0
50,2701410,1,4,3,0
59,4197088,1,2,1,1
70,4168905,0,1,0,0
47,4605149,0,3,2,1
58,4349019,0,3,1,0
66,5067842,0,2,4,1
39,4490788,0,3,1,1
37,1957642,0,3,2,0
47,3375219,0,1,0,0
60,4541767,0,3,5,0
58,5242265,1,1,2,0
30,4690996,0,4,3,1
37,3623754,1,2,2,1
44,2685554,0,4,0,0
54,5153452,1,2,1,1
51,1974179,1,1,0,0
60,4836769,1,5,4,0
49,5023489,1,1,2,0
31,3935951,0,6,0,0
51,5249388,1,6,3,1
34,2640078,1,6,1,1
53,2881381,1,3,2,0
51,2168751,0,5,2,0
67,3904450,0,3,2,0
42,2726532,1,5,1,1
26,3929866,1,5,0,1
28,1845669,0,3,1,0
39,3547469,0,4,2,1
60,2429270,1,3,2,0
21,5016783,0,2,0,1
47,4896269,0,3,0,1
22,3748137,0,2,2,1
18,1978997,1,1,2,0
69,3818364,1,2,1,0
69,3770616,0,2,3,0
58,4377692,0,3,3,1
26,3423367,0,2,3,0
46,3509935,0,5,0,1
47,2268947,1,2,3,0
32,3834607,1,2,1,0
46,3164582,1,2,3,0
47,2297607,1,1,0,0
